Importers,"Share in value in Mexico's exports, % in 2018","Share in value in Mexico's exports, % in 2019","Share in value in Mexico's exports, % in 2020"
World,100,100,100
United States of America,74,76.4,80.6
Canada,8.2,7.9,8.1
Japan,6.1,6.2,4.6
Spain,1.5,2.2,1.5
Honduras,1.1,0.9,1.1
El Salvador,1.1,0.7,0.9
France,1.3,1.4,0.7
Netherlands,1.8,1.9,0.4
China,1.2,0.6,0.4
United Kingdom,0.4,0.5,0.3
Guatemala,0.3,0,0.3
"Korea, Republic of",0.2,0,0.3
United Arab Emirates,0.1,0.2,0.2
"Hong Kong, China",0.4,0.3,0.1
Singapore,1.5,0.1,0.1
Germany,0.1,0.3,0.1
Italy,0,0,0.1
Argentina,0.2,0,0.1
Kuwait,0.1,0.1,0
Bahrain,0,0,0
Malaysia,0,0,0
Saudi Arabia,0,0,0
Switzerland,0,0,0
Panama,0,0,0
Qatar,0,0,0
Oman,0,0,0
Belgium,0,0,0
Belize,0,0,0
Chile,0.4,0.1,0
Costa Rica,0,0,0
Cuba,0,0,0
Denmark,0,0,0
Greece,0,0,0
Ireland,0,0,0
"Taipei, Chinese",0,0,0
New Zealand,0,0,0
Nicaragua,0,0,0
Poland,0,0,0
Thailand,0,0,0
